GeneID,Experiment,Expression_Change
Zm00001d017422,Salicylic acid,Increases under treatment
Zm00001d017425,Salicylic acid,Increases under treatment
Zm00001d017454,Salicylic acid,Increases under treatment
Zm00001d017461,Salicylic acid,Increases under treatment
Zm00001d017466,Salicylic acid,Increases under treatment
Zm00001d017485,Salicylic acid,Increases under treatment
Zm00001d017502,Salicylic acid,Decreases under treatment
Zm00001d017531,Salicylic acid,Decreases under treatment
Zm00001d017539,Salicylic acid,Increases under treatment
Zm00001d017619,Salicylic acid,Increases under treatment
Zm00001d017666,Salicylic acid,Increases under treatment
Zm00001d017682,Salicylic acid,Increases under treatment
Zm00001d017699,Salicylic acid,Increases under treatment
Zm00001d017700,Salicylic acid,Increases under treatment
Zm00001d017755,Salicylic acid,Increases under treatment
Zm00001d017766,Salicylic acid,Decreases under treatment
Zm00001d017788,Salicylic acid,Increases under treatment
Zm00001d017801,Salicylic acid,Increases under treatment
Zm00001d017820,Salicylic acid,Increases under treatment
Zm00001d017826,Salicylic acid,Increases under treatment
Zm00001d017830,Salicylic acid,Increases under treatment
Zm00001d017851,Salicylic acid,Increases under treatment
Zm00001d017852,Salicylic acid,Increases under treatment
Zm00001d017867,Salicylic acid,Increases under treatment
Zm00001d017880,Salicylic acid,Increases under treatment
Zm00001d017978,Salicylic acid,Increases under treatment
Zm00001d017991,Salicylic acid,Increases under treatment
Zm00001d018001,Salicylic acid,Increases under treatment
Zm00001d018028,Salicylic acid,Decreases under treatment
Zm00001d018080,Salicylic acid,Increases under treatment
Zm00001d018090,Salicylic acid,Increases under treatment
Zm00001d018106,Salicylic acid,Increases under treatment
Zm00001d018179,Salicylic acid,Increases under treatment
Zm00001d018298,Salicylic acid,Increases under treatment
Zm00001d018470,Salicylic acid,Increases under treatment
Zm00001d018613,Salicylic acid,Increases under treatment
Zm00001d018631,Salicylic acid,Increases under treatment
Zm00001d018677,Salicylic acid,Increases under treatment
Zm00001d018682,Salicylic acid,Increases under treatment
Zm00001d018751,Salicylic acid,Decreases under treatment
Zm00001d018789,Salicylic acid,Increases under treatment
Zm00001d018803,Salicylic acid,Increases under treatment
Zm00001d018857,Salicylic acid,Increases under treatment
Zm00001d018940,Salicylic acid,Decreases under treatment
Zm00001d018966,Salicylic acid,Increases under treatment
Zm00001d018973,Salicylic acid,Increases under treatment
Zm00001d019049,Salicylic acid,Increases under treatment
Zm00001d019057,Salicylic acid,Decreases under treatment
Zm00001d019060,Salicylic acid,Increases under treatment
Zm00001d019122,Salicylic acid,Increases under treatment
Zm00001d019139,Salicylic acid,Increases under treatment
Zm00001d019149,Salicylic acid,Increases under treatment
Zm00001d019317,Salicylic acid,Increases under treatment
Zm00001d019411,Salicylic acid,Increases under treatment
Zm00001d019457,Salicylic acid,Increases under treatment
Zm00001d019505,Salicylic acid,Increases under treatment
Zm00001d019507,Salicylic acid,Increases under treatment
Zm00001d019541,Salicylic acid,Increases under treatment
Zm00001d019563,Salicylic acid,Increases under treatment
Zm00001d019565,Salicylic acid,Increases under treatment
Zm00001d019597,Salicylic acid,Increases under treatment
Zm00001d019985,Salicylic acid,Increases under treatment
Zm00001d019994,Salicylic acid,Increases under treatment
Zm00001d020309,Salicylic acid,Increases under treatment
Zm00001d020391,Salicylic acid,Decreases under treatment
Zm00001d020395,Salicylic acid,Increases under treatment
Zm00001d020417,Salicylic acid,Increases under treatment
Zm00001d020442,Salicylic acid,Increases under treatment
Zm00001d020461,Salicylic acid,Increases under treatment
Zm00001d020487,Salicylic acid,Increases under treatment
Zm00001d020500,Salicylic acid,Increases under treatment
Zm00001d020569,Salicylic acid,Increases under treatment
Zm00001d020674,Salicylic acid,Increases under treatment
Zm00001d020697,Salicylic acid,Increases under treatment
Zm00001d020702,Salicylic acid,Increases under treatment
Zm00001d020714,Salicylic acid,Increases under treatment
Zm00001d020725,Salicylic acid,Increases under treatment
Zm00001d020732,Salicylic acid,Decreases under treatment
Zm00001d020736,Salicylic acid,Increases under treatment
Zm00001d020781,Salicylic acid,Decreases under treatment
Zm00001d020794,Salicylic acid,Increases under treatment
Zm00001d020811,Salicylic acid,Increases under treatment
Zm00001d020835,Salicylic acid,Increases under treatment
Zm00001d020887,Salicylic acid,Increases under treatment
Zm00001d020903,Salicylic acid,Increases under treatment
